"Est","SE","SE.B"
2.120968095,0.086855873,0.087448574
1.984356204,0.084263704,0.085361169
1.874001914,0.087550718,0.087653421
1.857260334,0.082573459,0.08208382
2.035336366,0.087499752,0.08652546
1.978268679,0.089467202,0.089617554
1.922710374,0.08810457,0.087844979
1.922014421,0.085124807,0.086127234
2.015236069,0.090092152,0.089756813
1.939852582,0.082721276,0.081952399
2.002803435,0.086213655,0.08652209
1.979525883,0.084773179,0.084776713
2.215997422,0.095383935,0.094373582
1.911318671,0.086120205,0.087406777
1.941069557,0.089193754,0.089865873
2.085372272,0.088009416,0.089853012
2.089379405,0.088580884,0.088380454
1.976416867,0.085880411,0.085625438
1.904536424,0.085861497,0.085163407
2.020281306,0.085914779,0.087028202
2.139461133,0.087844578,0.086239366
1.936712135,0.083040266,0.083427793
1.917551977,0.086140907,0.085796483
1.952476762,0.086540898,0.086751359
1.979759052,0.092357332,0.09217899
1.961059834,0.086110756,0.086227047
2.045743498,0.090812041,0.090059359
1.97210084,0.08592628,0.085753861
2.060380592,0.092840468,0.091733486
1.973769311,0.090155024,0.090938641
2.118646482,0.090803136,0.089990323
1.774921001,0.089569657,0.088746485
2.017207489,0.085574169,0.085330111
2.113156719,0.085980214,0.085826897
2.028822881,0.08871064,0.089180601
1.921552266,0.091257854,0.09115706
2.171447703,0.099495787,0.100325552
1.817912413,0.087607959,0.08721717
1.992157872,0.089497336,0.089752853
2.016578083,0.088381231,0.087525097
1.985024647,0.086373376,0.086186165
2.042952734,0.0791436,0.079078318
2.083973363,0.091365203,0.091722928
1.849264293,0.087673838,0.08772524
1.958424009,0.086487868,0.086452427
1.953180994,0.090520296,0.090546317
2.046095417,0.084242221,0.084732762
1.960657157,0.091167658,0.091440663
1.960188079,0.08552538,0.085018183
1.994154488,0.09045378,0.089954478
1.99228277,0.088332365,0.088102827
2.086749879,0.091696688,0.091332847
2.061066543,0.09325631,0.092959654
1.869018958,0.085212536,0.085917638
2.075743677,0.086932052,0.087353368
2.055123192,0.08433594,0.083774687
1.884883545,0.090857671,0.090934881
2.041156291,0.086570748,0.085535829
2.079805551,0.086534323,0.086616125
1.819450471,0.089671132,0.090097008
1.974071545,0.089805447,0.090643874
1.956400173,0.085748271,0.085440291
1.933215822,0.088041928,0.088665095
1.904135623,0.08482996,0.084796392
2.054551969,0.086012351,0.085077796
2.159706247,0.085249942,0.084553244
2.057918357,0.089148802,0.087975091
1.953120119,0.082491075,0.081138806
1.901140323,0.086793187,0.087179711
2.10892966,0.09045326,0.08973655
1.962206553,0.090489508,0.091555431
2.044958829,0.090267623,0.089721079
1.972920606,0.084917222,0.085922568
2.142735805,0.087638573,0.087923142
2.10766186,0.090460034,0.090953616
1.968106815,0.086430365,0.085863547
2.074213313,0.08494259,0.084807186
2.060120193,0.088442651,0.087865042
2.012512142,0.089498727,0.088138142
2.034454194,0.089142178,0.088814108
2.074467211,0.086023509,0.085324113
2.121186549,0.087112705,0.087278962
1.970181663,0.088503947,0.088541103
2.065852684,0.083777082,0.084002304
2.071379822,0.084449904,0.084868784
2.124960103,0.091764377,0.092443339
2.165372729,0.086234633,0.086063455
1.87828239,0.083462508,0.083653045
1.990717747,0.080320895,0.080636715
1.989175299,0.086934003,0.087425306
2.009799182,0.086534176,0.087042927
2.001370438,0.081825013,0.080476206
2.179781441,0.084301958,0.084493961
2.201476864,0.083386043,0.083553479
2.026718322,0.08711561,0.087716736
2.05351191,0.097478834,0.096281221
1.983549198,0.090567163,0.089164378
