"Batch","Eff_Obs","Eff_Exp"
624,1.99209289052585,1.98032896026115
625,2.00142830303225,2.02519437438188
626,1.97991966732378,2.01699801439808
627,1.99033258564045,1.96153968017258
628,1.9859658884615,1.95339658706777
629,1.98023213937984,1.97305467561653
630,2.01545729611439,1.94392981535396
631,1.9941750935402,1.97027893080749
632,1.95365893352493,1.95235949028999
633,1.97187764332594,1.99230831373749
634,2.01337147562938,1.98394232623233
635,1.98511072160549,1.9964068483146
636,1.97760419512408,1.95615412079575
637,1.99674430513158,2.00531123663327
638,1.97790830447047,1.97823702686507
639,1.92262817947694,1.96902541362753
640,1.99663852861671,2.02211083952473
641,1.98650729893207,1.98322969379495
642,1.96648137322798,1.99025225162179
643,1.97218726862391,1.98938069941245
644,1.98542588689282,1.97070368617863
645,2.02325597650816,1.99935165026615
646,1.98090319335265,1.96994981197951
647,1.96122271729763,2.00408526279973
648,1.9594764220633,2.01437084719538
649,1.98018061077565,1.99057498580578
650,1.99625057361799,1.94724333825831
651,1.98712117991147,1.98499897778628
652,1.97527044806686,1.99181303475551
653,1.97280859065492,1.9530292368408
654,1.97431928402012,1.97453933443284
655,1.9641903284456,1.99299746417932
656,1.97505589664432,1.94793764642048
657,1.95653860523833,1.97193831860426
658,1.96732952508119,1.97739810522947
659,1.94802775454944,1.96579302828994
660,1.9907928207099,2.0109971830013
661,1.98728346685952,2.00779164725251
662,1.98203155471769,1.99082434275479
663,1.97709990365221,1.97971014229962
664,2.00936859315271,2.0021195481309
665,1.98979506694549,1.99022321015944
666,1.98000028997503,1.99186619931788
667,2.0123813284757,1.98489133963594
668,1.97628737721765,2.0083962347315
669,1.99575868374673,1.98388077899022
670,1.9820251061112,2.00737113473791
671,1.98282897424355,1.99541184432234
672,1.96094445584069,1.97260518196069
673,1.99099183931765,2.00021694200134
674,1.96918925178321,1.9757549213104
675,1.97891161975159,1.96431372421486
676,1.96330528785229,1.95999324386477
677,1.986460523978,1.98521859872365
678,2.01748974903641,2.01465109921373
679,1.95875062044202,1.97775053856069
680,1.99243670018393,1.99880448870804
681,1.96268700547894,1.96490821777589
682,1.98478767981082,1.96198798086599
683,1.98347120607454,1.95919140638231
684,1.9493912256788,1.98729565199618
