Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.826931119,0.415829512,0.411308756,2.291002272,1.231382223,0.58,2.266028409,0.319577657,0.318909275,2.5456787,1.231382223,0.58,1.535618928,4.057615053,2.019503665,0.048883571
2.71530762,0.640888706,0.648723612,2.804547007,1.216092049,0.585,2.013321452,0.29878562,0.298799652,2.393885099,1.216092049,0.585,1.164530476,5.489310444,1.987974312,0.04951093
1.107374064,0.526268408,0.522746439,1.701836111,1.081706635,0.56,2.134948039,0.318847314,0.323204343,2.277277537,1.081706635,0.56,1.605707088,4.972298916,1.997693205,0.049497266
2.050287549,0.315037043,0.31279291,2.497483678,1.236556835,0.615,1.890119211,0.286064098,0.284381005,2.39898015,1.236556835,0.615,1.171992056,4.247499587,1.943346519,0.048802012
2.200734722,0.507539874,0.506780489,2.557366603,1.159900055,0.635,2.430812499,0.296504097,0.299616735,2.703465992,1.159900055,0.635,1.258932275,8.505796697,1.996851239,0.051936912
1.220451274,0.455993418,0.452848694,2.306415369,1.433792708,0.715,1.451378729,0.223135686,0.220760412,2.471528499,1.433792708,0.715,1.372467347,5.980545981,2.026399414,0.050531756
1.58112689,0.416146935,0.417867357,2.113957615,1.204809653,0.575,2.05951776,0.302098253,0.302877671,2.389032366,1.204809653,0.575,1.463288789,5.54452107,2.064296693,0.050128239
1.932619384,0.353682277,0.350494095,2.434119759,1.255221935,0.61,2.243491147,0.302444732,0.300259829,2.623751535,1.255221935,0.61,1.134567741,3.828008275,1.980828104,0.054179993
1.618018533,0.583546327,0.579887285,2.321057723,1.293615955,0.635,1.602209746,0.26369865,0.263683285,2.311019144,1.293615955,0.635,1.652244042,6.17298429,1.905679902,0.049232731
1.723311744,0.35831956,0.359933406,2.552971276,1.45005176,0.64,1.927930734,0.276665465,0.275575229,2.68392743,1.45005176,0.64,1.102854937,4.01089088,2.007358321,0.051422518
2.089266846,0.537804,0.536504292,2.707236672,1.359659556,0.645,1.6685792,0.270397686,0.270277707,2.43589314,1.359659556,0.645,1.491581427,8.74500409,2.075996059,0.052412551
1.824295117,0.473272934,0.474031864,2.563898799,1.350742546,0.665,1.963235792,0.271444975,0.272113232,2.656294348,1.350742546,0.665,1.273746033,7.954124065,2.07947664,0.051149195
2.644830995,0.59894805,0.606234149,2.726251748,1.192249771,0.58,1.909620768,0.300881071,0.296986463,2.299829817,1.192249771,0.58,1.259505994,9.670558975,1.833515856,0.050049654
1.77511119,0.567296307,0.56672375,2.329438715,1.246620889,0.61,2.136284707,0.294007874,0.297369975,2.54975456,1.246620889,0.61,1.606650095,6.914157435,2.023052845,0.048887746
2.052026241,0.458146765,0.449240566,2.289872269,1.120217311,0.57,2.018307232,0.302278916,0.302503322,2.270652434,1.120217311,0.57,1.516549572,3.780759424,2.000948403,0.050827457
