Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.h01.PMMR,SE.h00.PMMR,SE.h2.PMMR,SE.q0.PMMR,SE.q11.PMMR,SE.h11.True,SE.h01.True,SE.h00.True,SE.h2.True,SE.q0.True,SE.q11.True
1.934939915,0.280849951,0.280881027,2.651529953,1.367453909,0.663625797,1.867434173,0.132186443,0.134030601,2.5076335,1.346708771,0.621668354,1.381661981,2.240231456,1.525856312,0.542001618,2.820581817,5.905197237,2.040591489,1.685639476,1.789924735,0.110563174,0.276660751,0.222997956
2.063763687,0.180344395,0.182123915,2.621609805,1.336051223,0.62291947,1.94091913,0.13603085,0.13449956,2.465061019,1.272529437,0.614415904,1.181313328,2.152833954,1.06555929,0.47886191,2.097884914,2.694558801,2.009981253,1.684608498,1.794159404,0.109369188,0.275359128,0.216288787
3.031410285,0.526246335,0.53111708,2.976555983,1.148943298,0.602891893,2.102924808,0.132976025,0.131394478,2.685126599,1.343757323,0.637858886,1.554550904,2.310936339,1.875699507,0.386842456,3.081099005,13.30987493,1.995914034,1.740194942,1.85377791,0.111400035,0.271330011,0.214229775
2.019250027,0.268824325,0.263886784,2.623611389,1.380873299,0.615445375,1.920105842,0.131411637,0.13329299,2.444722741,1.273284492,0.610090457,0.958542177,1.876734471,1.582333352,0.45849481,2.890956759,7.930038562,2.023715375,1.731783726,1.835693871,0.112809538,0.258392327,0.20347634
2.499734588,0.348701785,0.345242176,2.608442025,1.125480191,0.593247715,1.993273214,0.131963386,0.13200844,2.625789424,1.349846409,0.640124498,1.080288915,2.298420407,1.702513311,0.500468889,1.944053249,11.45873064,2.03923207,1.766402141,1.884511176,0.112792627,0.273485161,0.21483635
1.904127719,0.345908645,0.345630884,2.384257689,1.261316272,0.589740597,1.775796586,0.133660243,0.133491106,2.497042867,1.372963115,0.633000289,1.441400938,2.268376714,1.337070066,0.456461085,2.310002088,8.016319577,2.006894855,1.724627261,1.841950213,0.110726269,0.272194521,0.214777187
2.030635024,0.428049781,0.424788216,2.281493306,1.067189448,0.597992176,2.005277149,0.140755765,0.140918878,2.41313724,1.247902574,0.581084099,1.615273901,2.286110185,1.338535616,0.478488812,2.650042636,9.969390644,2.060626004,1.730653829,1.842036856,0.112525732,0.275345595,0.220407475
1.698401992,0.345437724,0.348350376,2.135395892,1.115702187,0.600384191,2.076923897,0.134685277,0.137712041,2.524703382,1.238899264,0.619090627,1.568464567,2.45848227,1.268066707,0.415774454,2.374739517,6.781672375,2.005500641,1.710360137,1.824400668,0.110106884,0.271619874,0.213339248
1.966956009,0.445895932,0.443369663,2.467510181,1.307592082,0.589702105,1.967503406,0.13696642,0.137157152,2.568079987,1.331101629,0.628704557,2.199789331,2.312950838,1.405144186,0.556682983,1.831360618,7.901898396,1.990196003,1.663273002,1.768303094,0.108440007,0.278615292,0.216348998
2.67610018,0.393491418,0.397621125,2.65247838,1.076752272,0.58881432,1.99187898,0.143300363,0.14388825,2.448486698,1.250608175,0.601381175,0.994275634,1.822431707,1.45364378,0.542801677,4.765442592,6.512871144,2.062792893,1.739629594,1.84853024,0.112908834,0.277499749,0.220993393
1.226092609,0.343006244,0.342092633,2.037565342,1.3517936,0.559314799,2.374966197,0.135256873,0.136076675,2.676082448,1.201026438,0.621085055,1.287409626,1.83984661,1.681042895,0.599105523,2.691644641,7.161116655,2.015158005,1.66914573,1.774368857,0.109198037,0.274876505,0.220913515
2.48785187,0.513852507,0.516819439,2.42999109,0.981100877,0.582386046,2.061844685,0.136690858,0.136793955,2.48632187,1.264808187,0.592437293,1.547819039,2.833389911,1.439540084,0.297745706,4.130899807,6.842328642,2.011426844,1.728197471,1.842593862,0.111070095,0.276217936,0.224831117
2.609449265,0.347603827,0.347444506,2.868576725,1.236728406,0.625361198,2.161180576,0.144681279,0.145257226,2.543778507,1.20871049,0.617749406,1.442269004,1.145608296,1.087406257,0.568512898,3.336452877,6.233358698,1.999368052,1.694883622,1.805021052,0.109643841,0.265203992,0.217993183
1.473563972,0.445135379,0.442083902,2.178721142,1.290474574,0.602787924,1.947290909,0.138639635,0.142277866,2.508690153,1.32627197,0.607211885,1.32878805,1.686178035,1.344141303,0.381895499,3.522866712,10.3938883,2.008730595,1.713005032,1.828255203,0.110104829,0.270180299,0.221413009
2.095642184,0.272152057,0.273812838,2.381378669,1.179578177,0.573475997,1.857042316,0.139395934,0.137614478,2.32038195,1.229380891,0.587493914,1.15720001,1.671232359,1.176976267,0.369789423,3.332361927,7.973057186,1.992626749,1.721510208,1.828650649,0.111128173,0.271083381,0.215390789
2.329291011,0.270125229,0.272271899,2.790631286,1.248805883,0.661929057,1.838248209,0.131134515,0.129990897,2.548438613,1.377433348,0.637022388,1.06360195,2.2560795,1.189764093,0.436897734,3.386567293,7.549113359,2.005893107,1.668027505,1.773993701,0.108972449,0.272340707,0.220666558
2.203256757,0.304420774,0.301410965,2.795756041,1.370963918,0.646675481,2.17824131,0.137684871,0.138487102,2.585754573,1.260421535,0.608441788,1.084234471,2.811346265,1.864507266,0.501814881,3.549650301,6.697282994,1.965766801,1.691156334,1.802909486,0.10887461,0.257680503,0.210558285
2.019457639,0.248693376,0.250545078,2.729925848,1.285908608,0.715052008,1.864605789,0.135287641,0.135409605,2.452000656,1.28857437,0.623952952,1.495933751,2.575925569,1.582306611,0.657318573,4.201730644,9.643167404,1.95431582,1.65671168,1.760857251,0.107684374,0.264305733,0.215505267
1.64108719,0.289374943,0.289237056,2.317912637,1.298776699,0.621012671,1.785134919,0.141557409,0.141368502,2.440024598,1.333367205,0.619929273,0.820316082,2.318971603,1.455186361,0.565603858,1.709122921,9.49524254,2.027350265,1.726098886,1.834611067,0.112062946,0.278712867,0.228885149
2.400102205,0.237554002,0.236011814,3.063643357,1.403865789,0.691544537,2.30823857,0.130439816,0.129642815,2.787546319,1.306836228,0.641489191,1.244289915,1.204247223,0.950140116,0.468404963,2.573291525,5.768721923,2.017492835,1.682828306,1.784405,0.110451354,0.264209681,0.213305086
2.044144797,0.237722114,0.237838548,2.475367756,1.252931719,0.59801832,2.200979727,0.139095059,0.137486583,2.476459618,1.159301069,0.598441927,1.371611675,1.83905171,1.652064451,0.405990427,1.838966356,5.704516443,2.043114149,1.695269727,1.792970111,0.111763728,0.2832672,0.225129295
2.446176876,0.277180046,0.275857105,2.796248384,1.243459261,0.63478203,1.933203051,0.142473655,0.142832198,2.379010204,1.228665611,0.595045922,1.120326432,2.042803932,1.247502783,0.480370209,4.948745553,6.902174266,2.031900738,1.727582368,1.833903721,0.112381035,0.277208551,0.224900763
2.008376858,0.338503956,0.337551416,2.555973063,1.317245445,0.616780468,2.064945639,0.139830036,0.138900605,2.532466255,1.261459057,0.615516057,1.318538309,1.817092668,1.222403659,0.374855499,2.912223029,6.349339636,2.025599172,1.734171858,1.849413268,0.111843252,0.268582951,0.216928554
