"N","MSE.h11","MSE.h01","MSE.h00","MSE.h2","MSE.q0","MSE.q11"
12800,0.002604737,0.002771984,0.001753153,0.000223792,0.012048889,0.060257176
12800,0.003008555,0.002502036,0.001725429,0.000170811,0.001699401,0.030282766
12800,0.003976908,0.002093469,0.002500392,0.000214033,0.002927152,0.059625919
12800,0.003754948,0.004638173,0.002480447,0.000792188,0.005696232,0.019830929
12800,0.001939871,0.001811077,0.00177108,0.000176575,0.003589573,0.066549337
12800,0.00293487,0.004676219,0.001886664,0.001586712,0.002227936,0.043981955
12800,0.002442818,0.002628658,0.003093053,0.000781677,0.003179063,0.075657073
12800,0.004467173,0.002349009,0.001685088,0.000381021,0.002311021,0.092233951
12800,0.002895382,0.002963069,0.002206813,0.000732498,0.012433555,0.067107878
12800,0.002280128,0.004398561,0.002464957,0.000607615,0.003322763,0.034684113
12800,0.004998185,0.002604353,0.002350999,0.000391629,0.012658927,0.025005253
12800,0.003875317,0.002585558,0.002530569,0.000746677,0.003651798,0.043455337
12800,0.004102814,0.001390519,0.001933966,0.000772084,0.001863219,0.01054523
12800,0.003494851,0.002572319,0.002665528,0.000160022,0.001846114,0.062591448
12800,0.001469955,0.002297893,0.002993974,0.00022309,0.004792009,0.075581237
12800,0.005031387,0.004263475,0.001913858,0.000701071,0.002117555,0.117065135
12800,0.004259443,0.001865065,0.001299185,0.000345591,0.005734348,0.039649058
12800,0.003488812,0.003039472,0.002567891,0.000207824,0.003123786,0.008708139
12800,0.003670114,0.002954677,0.001983462,0.000269721,0.014376994,0.039670535
12800,0.003910441,0.002685724,0.00198671,0.000503744,0.001349277,0.011239403
12800,0.00399947,0.002539282,0.002240187,0.000251448,0.003847333,0.027836299
12800,0.00288014,0.002869306,0.003276547,0.000359088,0.001647989,0.025302391
12800,0.001900193,0.002448414,0.001968079,0.00069724,0.005012693,0.04358436
12800,0.003241359,0.002822843,0.002870396,0.000372382,0.002825921,0.04408985
12800,0.00167509,0.00191913,0.001996313,0.000288094,0.006898028,0.016402508
12800,0.001818055,0.001323745,0.000970517,0.000362406,0.003744108,0.027671311
12800,0.002825429,0.004012133,0.003151285,0.000995947,0.003754443,0.010562199
12800,0.003113396,0.002360122,0.002317628,0.000760221,0.003042064,0.012206784
12800,0.002092913,0.00748044,0.005124822,0.00040317,0.005293632,0.017459197
12800,0.002870352,0.003993496,0.001185419,0.000997472,0.004363816,0.035037434
12800,0.004569969,0.002088829,0.00278019,0.000117286,0.008877474,0.05431778
12800,0.003091445,0.002498526,0.001541652,0.000578024,0.002795037,0.013124524
